Time,KE,CoordNum,MaxZ,SolidFraction
3.51,0.844764,3.17,0.199973,0.500068
3.52,0.718495,3.02,0.200126,0.499686
3.53,0.612624,3.04,0.2003,0.49925
3.54,0.546569,2.96,0.199941,0.500148
3.55,0.502494,3.07,0.199765,0.500587
3.56,0.703453,3.08,0.200043,0.499893
3.57,0.856494,3.12,0.200466,0.498837
3.58,0.804582,3.2,0.20027,0.499327
3.59,0.623823,3.31,0.200068,0.499829
3.6,0.515369,3.27,0.200009,0.499977
3.61,0.469897,3.24,0.200091,0.499772
